 46250 46.250000 -1.833790 97.364500 11.037700   -1.595670 94.615600 11.010600   
 46500 46.500000 -2.268050 97.508700 11.059400   -1.548720 94.841900 11.490500   
 46750 46.750000 -2.681060 97.190500 11.153600   -1.767310 94.261700 10.794300   
 47000 47.000000 -2.956080 97.347400 10.764000   -1.778630 94.428800 10.891100   
 47250 47.250000 -2.951870 97.395200 9.779130   -1.779790 94.658400 11.258800   
 47500 47.500000 -3.920350 97.916500 9.965010   -1.467470 94.685000 11.077100   
 47750 47.750000 -4.149540 98.025600 9.908510   -1.871560 95.114200 10.983700   
 48000 48.000000 -4.389100 98.101200 9.829810   -2.714690 95.341600 11.050300   
 48250 48.250000 -4.642170 97.712800 9.807070   -2.843100 95.311000 10.413300   
 48500 48.500000 -3.990990 97.771100 9.732470   -2.188360 94.848800 11.189200   
 48750 48.750000 -3.654590 97.622000 10.079400   -1.615290 94.625900 11.255100   
 49000 49.000000 -3.527280 97.533800 9.857640   -2.024140 94.877700 10.962000   
 49250 49.250000 -3.380290 97.344400 9.791650   -2.036720 94.320400 10.668300   
 49500 49.500000 -3.144070 97.535300 10.122900   -1.631770 94.200200 11.112400   
 49750 49.750000 -3.037180 97.052400 10.230900   -2.266960 94.603500 11.281600   
 50000 50.000000 -2.697190 97.337300 10.637300   -2.431840 94.531800 10.737700   
 50250 50.250000 -2.626420 97.772400 10.786200   -1.705450 95.203700 11.347900   
 50500 50.500000 -2.879450 97.352800 10.829400   -2.134400 94.631300 10.818500   
 50750 50.750000 -2.865870 97.306000 11.117000   -2.080520 94.512400 10.899000   
 51000 51.000000 -2.585390 97.395400 11.271100   -1.443320 94.212500 11.273400   
 51250 51.250000 -3.153040 96.815500 10.870800   -1.352710 94.617300 11.031600   
 51500 51.500000 -3.109670 96.740900 10.086500   -1.489990 94.646800 10.929400   
 51750 51.750000 -2.897480 96.773800 10.263200   -1.297090 94.539700 10.735000   
 52000 52.000000 -2.868540 96.711400 11.176000   -1.422790 94.315900 11.247900   
 52250 52.250000 -2.515450 96.791400 11.229600   -1.000120 94.419600 11.391900   
 52500 52.500000 -2.467700 96.654700 10.400100   -0.887206 94.311200 10.648600   
 52750 52.750000 -2.381000 97.139000 10.789500   -1.010060 94.821500 10.944700   
 53000 53.000000 -2.710470 97.095300 11.079100   -1.043600 94.788400 11.001200   
 53250 53.250000 -2.204290 97.790200 11.044500   -1.217280 94.850200 10.952100   
 53500 53.500000 -2.460650 98.385900 10.995900   -1.533190 95.421900 10.884900   
 53750 53.750000 -2.593350 97.972200 10.985300   -1.416120 95.227400 10.755500   
 54000 54.000000 -2.511050 98.107600 11.104000   -1.380880 95.329000 11.078200   
 54250 54.250000 -2.257070 97.951200 10.911100   -1.246270 95.193400 11.068900   
 54500 54.500000 -1.984580 98.372500 11.391700   -1.307910 95.483600 10.957500   
 54750 54.750000 -2.149120 98.212300 11.483600   -0.985871 95.602400 11.371500   
 55000 55.000000 -2.592540 98.231100 10.799500   -1.122810 96.018600 11.258300   
 55250 55.250000 -2.475770 98.403400 11.040300   -1.474140 95.805500 11.177300   
 55500 55.500000 -2.648810 97.928500 11.171900   -1.556980 95.470000 11.311100   
 55750 55.750000 -2.309580 98.061600 10.952000   -1.324620 95.368700 10.864800   
 56000 56.000000 -2.338340 98.581800 11.148400   -1.383670 95.043100 10.975700   
 56250 56.250000 -2.672650 98.451000 11.214000   -2.254120 95.350200 11.435900   
 56500 56.500000 -2.992050 98.524900 10.533300   -2.531900 95.559400 10.942900   
 56750 56.750000 -2.413040 98.362900 10.708100   -1.938600 95.631600 10.585200   
 57000 57.000000 -2.793180 97.712100 11.165400   -1.972950 94.773500 11.412600   
 57250 57.250000 -2.651190 98.047000 11.321100   -1.826510 95.104100 11.024500   
 57500 57.500000 -2.679460 98.104400 10.549000   -1.986140 95.172600 11.161700   
 57750 57.750000 -3.236370 98.004900 10.835700   -2.189960 95.313700 10.934700   
