5432
Atoms. Timestep: 0
CA 38.5001 21.8239 3.39995
CA 39.9 21.8239 3.40061
CA 40.6 23.0362 3.40038
CA 42 23.0363 3.40145
CA 42.7 21.8238 3.40205
CA 44.1 21.8238 3.40155
CA 44.8 23.0362 3.40087
CA 46.1999 23.0363 3.39934
CA 46.9 21.8238 3.39925
CA 48.3 21.8238 3.39896
CA 49 23.0362 3.3986
CA 50.3999 23.0363 3.39907
CA 51.1 21.8238 3.39963
CA 52.4999 21.8237 3.39952
CA 53.1999 23.0361 3.3997
CA 54.6 23.0361 3.40006
CA 55.2999 21.8236 3.39999
CA 56.6999 21.8238 3.39984
CA 57.4 23.0361 3.39936
CA 58.8 23.0362 3.39829
CA 59.5001 21.8236 3.39722
CA 60.8999 21.8237 3.39651
CA 61.6 23.0361 3.39833
CA 63 25.4612 3.40311
CA 0.699938 24.2486 3.40336
CA 2.09988 24.2486 3.40402
CA 2.7999 25.4609 3.40299
CA 4.19993 25.4611 3.40072
CA 4.90001 24.2486 3.40129
CA 6.30011 24.2486 3.39873
CA 7.00002 25.4611 3.39653
CA 8.39999 25.4612 3.39706
CA 9.10006 24.2486 3.39836
CA 10.5001 24.2485 3.39993
CA 11.2001 25.461 3.39997
CA 12.5999 25.4611 3.40066
CA 13.3001 24.2486 3.4009
CA 14.7 24.2486 3.40065
CA 15.4001 25.4611 3.40101
CA 16.8 25.4611 3.40059
CA 17.5001 24.2486 3.40128
CA 18.9 24.2487 3.40074
CA 19.6001 25.461 3.39942
CA 21.0001 25.4611 3.39894
CA 21.7001 24.2487 3.39927
CA 23.1001 24.2488 3.3988
CA 23.8 25.4613 3.39876
CA 25.2 25.4613 3.39938
CA 25.9001 24.2487 3.39964
CA 27.3 24.2488 3.39971
CA 28.0002 25.4611 3.39991
CA 29.4 25.4612 3.39965
CA 30.1 24.2486 3.39949
CA 31.4999 24.2487 3.4001
CA 32.2001 25.4611 3.40128
CA 33.6002 25.4611 3.40181
CA 34.3001 24.2487 3.4014
CA 35.7001 24.2487 3.40068
CA 36.4001 25.4611 3.40018
CA 37.8 25.461 3.39934
CA 38.5 24.2486 3.39953
CA 39.9 24.2486 3.39971
CA 40.6001 25.4611 3.39974
CA 42 25.4611 3.40047
CA 42.7 24.2487 3.40137
CA 44.1 24.2486 3.40101
CA 44.7999 25.461 3.39998
CA 46.2 25.4611 3.39864
CA 46.9 24.2485 3.39883
CA 48.2999 24.2486 3.39849
CA 49 25.4611 3.39852
CA 50.4 25.4612 3.39927
CA 51.0999 24.2487 3.39958
CA 52.5 24.2487 3.39988
CA 53.1999 25.4611 3.40039
CA 54.6 25.4612 3.40074
CA 55.3001 24.2485 3.40022
CA 56.7001 24.2485 3.40002
CA 57.4 25.461 3.39945
CA 58.8 25.461 3.39849
CA 59.4999 24.2487 3.3983
CA 60.8999 24.2486 3.39924
CA 61.6 25.4611 3.40076
CA 62.9999 27.886 3.40232
CA 0.699867 26.6734 3.40336
CA 2.09985 26.6735 3.40256
CA 2.80002 27.886 3.4006
CA 4.20003 27.886 3.39774
CA 4.90008 26.6735 3.39727
CA 6.30009 26.6737 3.39552
CA 6.99996 27.8859 3.39525
CA 8.39985 27.8859 3.39587
CA 9.09999 26.6735 3.39734
CA 10.4999 26.6735 3.39839
CA 11.1999 27.8859 3.39787
CA 12.5999 27.886 3.39928
CA 13.2999 26.6734 3.4006
CA 14.7 26.6736 3.40125
CA 15.4001 27.8859 3.40109
CA 16.8 27.8861 3.40051
CA 17.5 26.6735 3.39967
CA 18.9001 26.6736 3.39884
CA 19.6001 27.886 3.39957
CA 21 27.8861 3.39946
CA 21.7002 26.6736 3.39879
CA 23.1001 26.6737 3.39841
CA 23.8 27.886 3.3987
CA 25.1999 27.8861 3.39902
CA 25.9 26.6737 3.39956
CA 27.3 26.6737 3.4001
CA 28 27.8861 3.39974
CA 29.4 27.886 3.39971
CA 30.1 26.6735 3.39988
CA 31.4999 26.6736 3.40064
CA 32.2001 27.8859 3.40103
CA 33.6001 27.8861 3.40183
CA 34.3001 26.6736 3.40195
CA 35.7001 26.6736 3.40074
CA 36.4001 27.8859 3.40048
CA 37.8 27.8861 3.39907
CA 38.5 26.6734 3.39877
CA 39.9001 26.6736 3.39892
CA 40.6 27.8859 3.39907
CA 42 27.886 3.39949
CA 42.6999 26.6735 3.40011
CA 44.0999 26.6736 3.39966
CA 44.8 27.886 3.39885
CA 46.2 27.8859 3.39824
CA 46.8999 26.6735 3.39785
CA 48.2999 26.6736 3.39819
CA 49 27.8859 3.39979
CA 50.4 27.8859 3.4013
CA 51.1 26.6735 3.40053
CA 52.5 26.6737 3.401
CA 53.2 27.886 3.40131
CA 54.5999 27.8861 3.40088
CA 55.3001 26.6735 3.40098
CA 56.7001 26.6735 3.40019
CA 57.4001 27.8859 3.39938
CA 58.8 27.8859 3.39812
CA 59.5 26.6734 3.39786
CA 60.8999 26.6736 3.3992
CA 61.6 27.886 3.39991
CA 62.9998 30.3109 3.40225
CA 0.699901 29.0984 3.40323
CA 2.09991 29.0986 3.4024
CA 2.79999 30.3109 3.40149
CA 4.19994 30.3109 3.39879
CA 4.89996 29.0984 3.39678
CA 6.29982 29.0983 3.39538
CA 6.99987 30.3108 3.39583
CA 8.39993 30.311 3.3948
CA 9.09988 29.0984 3.39516
CA 10.4998 29.0985 3.39641
CA 11.1999 30.3109 3.39772
CA 12.5999 30.3109 3.39878
CA 13.2999 29.0984 3.3995
CA 14.6999 29.0984 3.40072
CA 15.4 30.3108 3.40036
CA 16.8001 30.3108 3.40117
CA 17.5001 29.0983 3.40069
CA 18.9 29.0985 3.40052
CA 19.6001 30.3109 3.40089
CA 20.9999 30.3109 3.40031
CA 21.7001 29.0985 3.40022
CA 23.1 29.0985 3.39998
CA 23.8 30.3108 3.40098
CA 25.2 30.3109 3.40092
CA 25.9 29.0985 3.39952
CA 27.2999 29.0986 3.39917
CA 28 30.311 3.39941
CA 29.3999 30.3111 3.4001
CA 30.1001 29.0985 3.39971
CA 31.5 29.0985 3.40027
CA 32.2 30.3109 3.39997
CA 33.6 30.3108 3.40045
CA 34.3001 29.0984 3.40177
CA 35.7001 29.0984 3.40112
CA 36.4002 30.3108 3.39884
CA 37.8002 30.3109 3.39781
CA 38.5002 29.0984 3.39836
CA 39.9001 29.0983 3.39851
CA 40.6 30.3108 3.39918
CA 41.9999 30.3108 3.3995
CA 42.7 29.0983 3.39921
CA 44.0999 29.0984 3.39906
CA 44.8 30.3109 3.39977
CA 46.2 30.3109 3.4001
CA 46.8999 29.0984 3.39953
CA 48.3 29.0984 3.40038
CA 49 30.3108 3.4015
CA 50.4 30.3109 3.40175
CA 51.1001 29.0983 3.40199
CA 52.4999 29.0984 3.40153
CA 53.2001 30.3107 3.40026
CA 54.6 30.311 3.39993
CA 55.2999 29.0984 3.40057
CA 56.6999 29.0985 3.40007
CA 57.4 30.3108 3.39934
CA 58.8 30.3109 3.39841
CA 59.5 29.0984 3.39767
CA 60.8999 29.0984 3.39855
CA 61.5999 30.3108 3.39988
CA 62.9998 32.7357 3.40121
CA 0.699902 31.5233 3.40257
CA 2.09989 31.5234 3.40226
CA 2.79987 32.7357 3.40055
CA 4.19982 32.7358 3.39943
CA 4.89993 31.5233 3.39862
CA 6.29982 31.5233 3.39782
CA 6.99999 32.7357 3.39988
CA 8.4 32.7359 3.39985
CA 9.09987 31.5234 3.39733
CA 10.4999 31.5234 3.39841
CA 11.1999 32.7358 3.40028
CA 12.5999 32.7359 3.40006
